ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
petrol,suv,1,mahindra,mahindra kuv 100,2016,3566,mfalcon g80 k4 plus,400000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,6,20000,wb24,1198,manual,7,9,5,20,0,18.15,82.0,115.0,16.0,Kolkata
petrol,hatchback,1,datsun,datsun redigo,2020,7846,1.0 t option,354000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,10000,wb02,999,manual,7,9,9,21,9,21.7,67.05,170.553712,16.0,Kolkata
diesel,suv,1,hyundai,hyundai venue,2019,6949,sx opt diesel bsiv,850000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,36374,wb12,1396,manual,23,11,14,34,5,23.7,88.7,220.0,16.0,Kolkata
petrol,suv,1,nissan,nissan magnite,2021,8133,turbo xv bsvi,669000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,20801,wb02,999,manual,21,12,18,35,11,20.0,98.63,160.0,16.0,Kolkata
petrol,hatchback,1,hyundai,hyundai i20,2019,6808,magna plus bsiv,480999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,43214,wb42,1197,manual,16,9,8,26,8,18.6,81.86,170.553712,16.0,Kolkata
diesel,suv,1,jeep,jeep compass,2021,8320,model s diesel bsvi,2400000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,20000,wb18,1956,manual,25,13,23,38,13,17.1,167.67,350.0,18.0,Kolkata
diesel,suv,1,mahindra,mahindra xuv500,2021,7798,w5,1170000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,7,31584,wb02,2179,manual,16,10,12,22,7,0.0,152.87,360.0,16.0,Kolkata
diesel,suv,1,hyundai,hyundai creta,2016,1451,1.4 crdi s plus,619000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,88755,wb02,1396,manual,20,10,11,24,8,21.38,88.7,219.7,16.0,Kolkata
petrol,muv,1,maruti,maruti ertiga,2018,4039,bsiv vxi at,875000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,7,50000,wb02,1373,automatic,16,8,9,22,8,17.03,91.1,130.0,16.0,Kolkata
petrol,hatchback,1,renault,renault kwid,2020,7437,climber 1.0 amt opt,518000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,7277,wb24,999,automatic,11,8,9,22,9,22.0,67.0,91.0,16.0,Kolkata
diesel,sedan,1,honda,honda city,2014,1286,i dtec v,450000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,44200,wb02,1498,manual,17,10,8,23,4,26.0,98.6,200.0,15.0,Kolkata
petrol,hatchback,3,honda,honda brio,2014,1188,s mt,235000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,36920,wb06,1198,manual,12,10,6,16,5,19.4,86.8,109.0,16.0,Kolkata
petrol,hatchback,1,maruti,maruti swift,2021,10405,zxi,620000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,14567,wb02,1197,manual,16,9,12,25,11,22.38,88.5,113.0,15.0,Kolkata
