ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
petrol,hatchback,1,maruti,maruti ignis,2018,5556,1.2 alpha bsiv,387000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,123617,up80,1197,manual,12,12,12,24,9,20.89,81.8,113.0,15.0,Delhi
diesel,sedan,1,audi,audi a6,2015,61,35 tdi technology,1475000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,31000,dl1c,1968,automatic,20,12,12,30,7,17.68,174.33,380.0,17.0,Delhi
cng,hatchback,1,hyundai,hyundai santro,2019,6672,sportz cng bsiv,484999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,45000,hr26,1086,manual,14,8,9,22,7,0.0,58.0,84.33,16.0,Delhi
cng,hatchback,1,maruti,maruti wagon r,2014,6838,cng lxi bsiv,295000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,82000,dl6c,998,manual,7,7,4,19,0,33.54,67.04,90.0,16.0,Delhi
petrol,hatchback,1,maruti,maruti celerio,2015,3982,vxi at,425000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,36400,hr51,998,automatic,10,9,5,13,0,23.1,67.04,90.0,16.0,Delhi
diesel,sedan,2,mercedes-benz,mercedes-benz s-class,2017,6284,s 350 d,7125000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,75000,hp38,2925,automatic,28,13,14,31,13,13.5,281.61,600.0,18.0,Delhi
petrol,hatchback,1,honda,honda brio,2013,1188,s mt,250000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,69000,dl4c,1198,manual,12,10,6,16,5,19.4,86.8,109.0,16.0,Delhi
diesel,sedan,1,fiat,fiat linea,2015,754,emotion (diesel),350000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,110000,unknown,1248,manual,18,13,11,23,7,20.4,91.7,209.0,16.0,Delhi
diesel,suv,1,nissan,nissan terrano,2016,5457,xv d premium amt,645000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,62500,hr26,1461,automatic,18,13,12,22,7,19.61,108.5,248.0,16.0,Delhi
petrol,hatchback,1,renault,renault kwid,2021,7428,rxl,459999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,20000,unknown,799,manual,5,8,5,20,0,22.25,53.26,72.0,16.0,Delhi
petrol,sedan,2,honda,honda city,2014,1279,i vtec v,458000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",zero dep,5,70307,dl1c,1497,manual,17,10,8,23,4,17.4,117.3,145.0,15.0,Delhi
diesel,suv,1,audi,audi q5,2015,104,2.0 tdi,1800000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,50000,dl2c,1968,automatic,20,13,19,31,8,14.16,174.3,380.0,17.0,Delhi
petrol,hatchback,1,maruti,maruti ignis,2020,5553,1.2 zeta bsiv,580000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,30000,dl8c,1197,manual,12,10,12,23,8,20.89,81.8,113.0,15.0,Delhi
diesel,suv,1,bmw,bmw x5,2017,366,xdrive 30d design pure experience 5 seater,4200000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,65000,hr98,2993,automatic,26,15,18,33,12,15.97,258.0,560.0,19.0,Delhi
petrol,hatchback,2,maruti,maruti ignis,2022,7584,sigma bsvi,517000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,4108,up37,1197,manual,7,5,4,22,0,20.89,81.8,113.0,16.0,Delhi
