ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
diesel,suv,1,mahindra,mahindra xuv500,2013,7923,w8 awd,500000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,7,50000,hr03,2179,manual,17,11,12,22,6,15.1,140.0,330.0,17.0,Jaipur
diesel,sedan,2,maruti,maruti swift dzire,2011,4227,vdi,250000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,110000,rj14,1248,manual,12,8,6,14,4,19.3,73.9,190.0,14.0,Jaipur
petrol,sedan,1,skoda,skoda slavia,2022,8694,1.0 tsi style bsvi,1473000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,20000,unknown,999,manual,22,13,16,31,12,19.47,113.98,178.0,16.0,Jaipur
diesel,sedan,4,maruti,maruti swift dzire,2018,5828,vdi,650000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,100000,rj05,1248,manual,19,11,8,29,9,28.4,74.02,190.0,16.0,Jaipur
petrol,sedan,2,maruti,maruti sx4,2009,4259,vxi,175000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,80000,rj14,1586,manual,14,9,6,12,5,15.5,103.3,145.0,15.0,Jaipur
diesel,suv,1,ford,ford ecosport,2018,7359,1.5 diesel titanium plus,750000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,76800,rj45,1498,manual,22,13,19,34,9,21.7,98.96,215.0,16.0,Jaipur
petrol,hatchback,1,maruti,maruti baleno,2017,5920,1.2 cvt alpha,690000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,71711,rj45,1197,automatic,15,12,13,28,9,21.4,83.1,115.0,16.0,Jaipur
petrol,hatchback,1,maruti,maruti baleno,2019,3970,1.2 alpha,714000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",zero dep,5,28406,rj22,1197,manual,15,12,13,28,9,21.4,83.1,115.0,16.0,Jaipur
petrol,sedan,1,skoda,skoda superb,2020,3196,lk 1.8 tsi at,2680000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,50000,rj45,1798,automatic,24,13,15,35,9,14.67,177.46,250.0,17.0,Jaipur
petrol,hatchback,1,maruti,maruti celerio,2019,10357,zxi,492000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,53615,rj45,998,manual,12,9,10,24,7,25.24,65.71,89.0,16.0,Jaipur
petrol,hatchback,2,hyundai,hyundai grand i10,2015,1542,asta,401000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,33959,rj14,1197,manual,16,11,14,17,7,18.9,82.0,114.0,14.0,Jaipur
petrol,hatchback,2,honda,honda jazz,2016,1339,1.2 v i vtec,475000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,65300,rj14,1199,manual,13,12,12,22,9,18.7,88.7,110.0,15.0,Jaipur
diesel,suv,1,jeep,jeep compass,2020,7660,2.0 limited plus,1700000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,49000,rj45,1956,manual,15,12,18,25,8,17.1,170.63,350.0,18.0,Jaipur
