ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
petrol,sedan,1,hyundai,hyundai elantra,2013,1471,sx,650000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,120000,ka41,1797,manual,17,11,9,27,4,16.3,147.5,177.5,16.0,Bangalore
diesel,sedan,1,audi,audi a6,2015,36,35 tdi,2089999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,59000,hr26,1968,automatic,30,13,12,37,11,18.53,187.74,400.0,18.0,Bangalore
petrol,hatchback,1,maruti,maruti alto 800,2021,7277,vxi plus bsvi,411000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",zero dep,5,18835,ka50,796,manual,6,6,5,17,7,22.05,47.33,69.0,16.0,Bangalore
diesel,suv,2,mahindra,mahindra scorpio,2010,5716,sle 7s bsiii,650000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,7,120000,ka19,2179,manual,10,8,10,13,0,12.05,120.0,290.0,16.0,Bangalore
petrol,hatchback,1,mini,mini 3 door,2016,5176,cooper s bsvi,3675000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,4,40000,ka51,1998,automatic,23,14,18,33,10,17.33,189.08,280.0,16.0,Bangalore
petrol,hatchback,1,tata,tata tiago,2019,6969,xz plus,610000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,60932,ka03,1199,manual,16,13,13,24,9,23.84,83.83,114.0,15.0,Bangalore
petrol,suv,2,kia,kia seltos,2020,7122,gtx plus dct,1675000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,33539,ka05,1353,automatic,24,14,20,34,10,16.5,138.08,179.23388467374812,17.0,Bangalore
petrol,hatchback,2,tata,tata tiago,2018,2985,1.2 revotron xz wo alloy,530000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,66837,ka05,1199,manual,14,11,13,24,8,23.84,84.0,114.0,16.0,Bangalore
diesel,sedan,1,mercedes-benz,mercedes-benz e-class,2022,7406,amg e 350d bsvi,7990000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,400,ka53,2925,automatic,23,11,9,45,9,0.0,281.61,600.0,18.0,Bangalore
petrol,hatchback,2,maruti,maruti alto,2008,3903,lxi,250000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,60000,unknown,796,manual,5,4,2,6,2,19.7,46.3,62.0,12.0,Bangalore
petrol,hatchback,1,hyundai,hyundai i20,2019,6808,magna plus bsiv,715000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,44285,ka09,1197,manual,16,9,8,26,8,18.6,81.86,179.23388467374812,16.0,Bangalore
diesel,suv,2,mercedes-benz,mercedes-benz gl-class,2014,4634,350 cdi blue efficiency,3500000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,7,100000,py01,2987,automatic,24,14,19,30,9,11.3,254.8,619.0,19.0,Bangalore
diesel,suv,1,tata,tata new safari,2021,8311,xza plus 6 str at bsvi,2250000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,6,25000,ka19,1956,automatic,19,15,17,27,11,14.08,167.67,350.0,18.0,Bangalore
petrol,hatchback,1,hyundai,hyundai grand i10,2018,5607,1.2 kappa asta,625000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,36735,ka03,1197,manual,19,11,14,24,7,18.9,81.86,179.23388467374812,14.0,Bangalore
diesel,suv,1,audi,audi q7,2015,122,35 tdi quattro premium plus,2695000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,7,79000,ka51,2967,automatic,22,13,17,31,9,12.07,241.4,550.0,18.0,Bangalore
diesel,suv,2,mahindra,mahindra scorpio,2010,3700,sle bsiii,650000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,8,120000,ka19,2179,manual,10,8,10,13,0,12.05,120.0,290.0,16.0,Bangalore
petrol,hatchback,1,renault,renault kwid,2022,7433,1.0 rxt amt opt,550000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,10000,ka50,999,automatic,10,7,8,22,9,22.0,67.0,91.0,16.0,Bangalore
diesel,suv,1,tata,tata nexon,2018,5996,1.5 revotorq xm,825000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,53645,ka05,1497,manual,10,11,6,20,6,21.5,108.5,260.0,16.0,Bangalore
petrol,hatchback,2,hyundai,hyundai getz,2006,1511,gls,220000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,100000,ka03,1341,manual,9,3,4,6,2,15.3,106.46522829131652,115.0,13.0,Bangalore
petrol,hatchback,1,maruti,maruti celerio,2014,10358,vxi amt,428000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,53982,ka03,998,automatic,10,8,6,23,0,26.68,65.71,89.0,16.0,Bangalore
diesel,sedan,1,skoda,skoda rapid,2014,3152,1.5 tdi ambition with alloy wheel,695000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,110000,ka03,1498,manual,18,12,11,20,7,21.14,103.52,250.0,15.0,Bangalore
petrol,suv,2,ford,ford ecosport,2019,7350,1.5 petrol titanium,930000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,37741,ka01,1496,manual,20,13,16,29,8,15.9,120.69,149.0,16.0,Bangalore
petrol,hatchback,1,maruti,maruti alto 800,2021,7277,vxi plus bsvi,455000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,17367,ka02,796,manual,6,6,5,17,7,22.05,47.33,69.0,16.0,Bangalore
diesel,suv,1,hyundai,hyundai creta,2017,1443,1.6 crdi sx plus,1195000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,94000,ka05,1582,manual,23,11,16,24,8,19.67,126.2,259.9,16.0,Bangalore
diesel,suv,1,tata,tata harrier,2021,9846,xza plus at,2175000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,33700,ka04,1956,automatic,17,15,16,24,11,14.6,167.67,350.0,17.0,Bangalore
petrol,hatchback,3,maruti,maruti swift,2014,10403,vxi,442000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,54601,ka53,1197,manual,11,7,7,26,6,22.38,88.5,113.0,16.0,Bangalore
diesel,hatchback,1,maruti,maruti swift,2018,6195,vdi,690000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,110000,ka41,1248,manual,12,10,5,26,7,28.4,74.0,190.0,16.0,Bangalore
petrol,hatchback,2,maruti,maruti celerio,2017,3983,zxi optional,500000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,64000,ka04,998,manual,11,10,10,21,7,23.1,67.04,90.0,14.0,Bangalore
diesel,sedan,1,bmw,bmw 3 series gt,2016,6631,luxury line,3395000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,40525,ka66,1995,automatic,28,15,15,33,13,21.76,188.0,400.0,18.0,Bangalore
diesel,sedan,1,maruti,maruti ciaz,2015,4002,vdi plus,650000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,100000,unknown,1248,manual,16,11,9,21,7,26.21,88.5,200.0,16.0,Bangalore
petrol,hatchback,2,honda,honda jazz,2016,1340,1.2 v at i vtec,537000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,44154,ka03,1199,automatic,13,12,12,22,9,19.0,88.7,110.0,15.0,Bangalore
diesel,muv,1,renault,renault lodgy,2016,5099,110ps rxz 7 seater,750000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,7,70000,unknown,1461,manual,19,13,11,24,7,19.98,108.5,245.0,15.0,Bangalore
petrol,sedan,1,skoda,skoda octavia,2018,6121,1.8 tsi at l k,1789999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,79000,ka20,1798,automatic,25,13,15,31,9,15.1,178.0,250.0,16.0,Bangalore
petrol,hatchback,2,tata,tata tiago,2017,2969,1.2 revotron xt,468000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,68039,ka53,1199,manual,10,10,7,22,8,23.84,84.0,114.0,16.0,Bangalore
petrol,hatchback,2,maruti,maruti ritz,2014,4141,vxi,420000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,60000,ka03,1197,manual,10,9,7,16,0,18.5,85.8,114.0,16.0,Bangalore
