ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
1,2,1,9,76,2012,1650,992,436000,4,5,40562,139,1396,1,8,6,5,11,1,22.54,88.76,219.6,14.0,0
4,8,2,9,69,2021,10536,1548,1675000,2,5,26500,107,1397,0,26,12,18,26,11,0.0,138.12,242.0,17.0,0
4,8,1,9,85,2019,6946,1554,1250000,5,5,20000,109,998,0,20,11,12,31,6,18.15,118.35,171.6,16.0,0
1,8,1,16,134,2016,3808,787,1350000,5,7,58600,109,2179,0,23,10,15,28,8,16.0,140.0,330.0,17.0,0
4,8,1,9,85,2019,6946,1554,1250000,5,5,20000,109,998,0,20,11,12,31,6,18.15,118.35,171.6,16.0,0
4,8,1,31,286,2020,6889,1601,2225000,2,5,42050,107,1498,0,27,14,27,37,10,18.4,147.94,179.23388467374812,16.0,0
4,2,1,19,146,2015,3982,1689,475000,1,5,65017,108,998,0,10,9,5,13,0,23.1,67.04,90.0,16.0,0
1,7,2,1,14,2008,210,610,600000,5,5,80000,245,1995,0,20,12,13,25,6,13.2,170.0,34.7,16.0,0
4,8,1,12,97,2021,8321,1266,2450000,5,5,30000,121,1368,0,25,13,23,38,12,14.1,160.77,250.0,18.0,0
4,8,1,13,103,2020,7122,1061,1625000,5,5,20000,107,1353,0,24,14,20,34,10,16.5,138.08,179.23388467374812,17.0,0
1,7,1,28,242,2014,3217,981,1650000,5,5,36349,139,1968,0,18,10,10,18,4,17.2,138.1,320.0,16.0,0
4,2,3,9,75,2009,1586,1484,249000,5,5,80000,315,1197,1,10,8,4,11,4,20.36,78.9,111.8,13.0,0
4,8,2,27,227,2014,5063,1297,630000,5,5,83394,105,1598,1,11,9,2,14,0,13.24,102.57,145.0,16.0,0
1,8,2,0,9,2016,5712,600,2599000,5,5,30000,105,1968,0,24,12,19,30,8,14.16,174.3,380.0,17.0,0
4,2,3,9,75,2009,1586,1484,249000,5,5,80000,315,1197,1,10,8,4,11,4,20.36,78.9,111.8,13.0,0
4,2,1,19,142,2017,10332,1676,385000,4,5,52204,115,998,1,7,6,5,20,6,24.39,65.71,89.0,16.0,0
4,2,3,9,76,2012,1642,140,300000,5,5,110000,141,1197,1,14,12,9,17,4,17.0,106.46522829131652,179.23388467374812,14.0,0
1,8,1,6,49,2017,916,595,2975000,5,7,89000,120,3198,0,20,12,19,32,9,10.91,197.0,470.0,18.0,0
4,2,2,19,141,2014,10327,1676,276000,2,5,29813,141,796,1,6,6,5,17,5,22.05,47.33,69.0,16.0,0
4,2,1,6,52,2018,5570,173,500000,5,5,30000,315,1196,1,15,10,10,24,7,18.16,86.8,112.0,14.0,0
4,2,1,19,158,2020,5555,67,730000,2,5,13345,105,1197,0,12,10,12,23,8,20.89,81.8,113.0,15.0,0
1,8,1,9,67,2022,9938,286,2245000,2,7,17100,141,1498,0,29,16,22,32,11,18.1,113.42,250.0,18.0,0
4,2,1,9,73,2014,1549,1481,399000,2,5,75000,109,1197,1,12,9,9,17,4,18.9,82.0,114.0,16.0,0
4,2,2,9,75,2011,1570,1481,312000,2,5,75523,139,1197,1,10,8,5,11,6,20.36,78.9,111.8,13.0,0
1,8,1,16,134,2015,3807,1721,1275000,2,7,47000,105,2179,1,23,11,17,30,8,16.0,140.0,330.0,17.0,0
1,8,1,29,245,2022,9411,1801,1989999,2,5,36500,107,1956,1,15,12,16,22,10,16.35,167.67,350.0,17.0,0
4,5,1,27,234,2020,10070,1365,719000,2,7,28253,105,999,1,16,11,11,20,8,20.0,71.01,96.0,16.0,0
1,8,1,9,69,2016,1443,349,1260000,5,5,50000,139,1582,1,23,11,16,24,8,19.67,126.2,259.9,16.0,0
4,2,2,9,75,2010,1568,1225,300000,5,5,90000,139,1197,1,10,7,3,10,0,20.36,78.9,111.7,13.0,0
1,8,2,1,23,2016,362,1765,3981000,5,5,70000,161,2993,0,26,15,18,34,12,15.97,258.0,560.0,19.0,0
4,2,1,9,76,2016,1482,754,627000,2,5,52571,141,1197,1,17,11,12,24,7,18.6,81.83,114.7,16.0,0
1,7,2,1,14,2010,205,613,1300000,5,5,70000,105,1995,0,20,12,14,25,6,16.07,181.0,380.0,16.0,0
4,7,1,8,59,2015,1279,1115,672000,2,5,61993,108,1497,1,17,10,8,23,4,17.4,117.3,145.0,15.0,0
1,8,1,9,84,2017,6685,434,1825000,2,5,57000,138,1995,0,31,15,19,34,11,16.38,182.46,400.11,18.0,0
1,8,2,30,271,2021,7615,551,3500000,5,7,80000,107,2755,1,31,12,19,35,10,14.24,174.5,420.0,17.0,0
4,2,1,9,76,2013,1654,1484,440000,2,5,36359,105,1197,1,10,11,10,19,4,18.5,82.85,113.7,14.0,0
1,8,2,29,245,2019,6711,1817,1460000,5,5,70000,141,1956,1,25,12,12,35,8,17.0,138.1,350.0,17.0,0
4,8,1,21,201,2022,8343,1439,2041000,2,5,7500,105,1451,0,28,14,26,32,12,0.0,141.0,250.0,18.0,0
4,7,1,9,86,2017,5969,1653,1033000,2,5,30301,134,1591,0,26,13,10,31,10,17.0,121.3,151.0,16.0,0
4,2,1,9,75,2010,1586,1484,275000,2,5,66000,107,1197,1,10,8,4,11,4,20.36,78.9,111.8,13.0,0
4,2,1,9,76,2017,1481,1484,676000,2,5,56010,134,1197,1,14,10,10,21,7,18.6,81.83,114.7,16.0,0
1,8,1,20,191,2017,5448,574,4290000,2,5,47000,107,2143,0,30,14,20,32,8,17.9,170.0,400.0,18.0,0
1,8,2,24,220,2014,3363,1812,650000,5,5,60000,107,1461,1,18,13,12,22,7,19.01,108.5,248.0,16.0,0
1,2,1,19,163,2014,4164,1637,444000,5,5,83829,139,1248,1,10,10,9,21,6,25.2,74.0,190.0,16.0,0
4,2,1,27,230,2020,7433,23,509999,5,5,10000,138,999,0,10,7,8,22,9,22.0,67.0,91.0,16.0,0
1,8,2,27,227,2016,5047,422,925000,2,5,35000,141,1461,0,21,13,11,26,9,19.6,108.45,245.0,16.0,0
4,7,2,8,59,2019,5627,1124,1024000,2,5,51116,107,1497,0,26,11,11,28,9,18.0,117.6,145.0,15.0,0
1,7,3,28,240,2016,3135,307,500000,5,5,80000,112,1498,1,17,13,9,20,7,21.14,103.52,250.0,15.0,0
4,2,2,31,285,2017,1941,1055,994999,5,5,40000,315,1197,0,14,11,14,20,8,17.21,103.5,175.0,16.0,0
4,8,2,8,61,2012,1328,517,935000,2,5,85565,137,2354,0,14,10,10,18,4,11.1,158.8,218.0,17.0,0
4,8,1,6,48,2018,6312,274,834000,2,5,36916,107,1497,1,20,12,13,34,9,17.0,121.36,150.0,16.0,0
1,2,1,31,285,2015,1976,308,560000,5,5,90000,108,1498,1,11,11,10,20,4,20.14,88.8,230.0,15.0,0
4,2,1,19,163,2012,10403,1676,454000,2,5,112795,139,1197,1,11,7,7,26,6,22.38,88.5,113.0,16.0,0
4,7,1,20,176,2021,6373,705,3690000,2,5,11000,108,1332,0,32,16,22,40,12,0.0,160.92,250.0,17.0,0
4,5,2,30,275,2014,2295,476,1100000,5,7,120000,109,1998,1,9,11,8,19,9,11.4,130.1,181.0,15.0,0
4,2,2,8,58,2016,1188,1399,462000,2,5,36685,109,1198,1,12,10,6,16,5,19.4,86.8,109.0,16.0,0
1,8,2,9,80,2012,1677,673,900000,5,7,120000,315,2199,0,22,13,16,21,7,11.72,194.3,436.4,18.0,0
4,7,1,1,18,2022,8418,1054,7900000,2,4,4000,107,1998,0,31,15,19,36,15,13.32,254.79,400.0,19.0,0
4,2,2,19,143,2019,5920,78,843000,4,5,32184,107,1197,0,15,12,13,28,9,21.4,83.1,115.0,16.0,0
4,2,1,19,144,2018,6370,15,799000,2,5,32279,105,998,1,16,12,14,25,9,21.1,100.5,150.0,16.0,0
4,2,1,9,76,2015,1483,765,576000,2,5,59698,105,1197,1,18,11,12,24,8,18.6,81.83,114.7,16.0,0
1,8,1,27,226,2018,6104,243,949000,2,5,46071,135,1461,1,26,13,14,30,8,20.37,108.45,240.0,16.0,0
1,8,1,19,169,2017,4299,1867,795000,5,5,90000,315,1248,1,16,11,12,25,9,24.3,88.5,200.0,16.0,0
4,8,1,9,85,2019,6945,1557,1085000,4,5,9554,108,998,1,15,11,12,27,5,18.27,118.35,171.6,16.0,0
4,8,1,12,97,2022,8318,214,2590000,2,5,14000,105,1368,0,25,12,23,37,12,14.1,160.77,250.0,18.0,0
1,8,2,27,227,2013,5065,697,516000,4,5,74499,107,1461,1,11,9,2,14,0,20.45,83.8,200.0,16.0,0
